ID;CNPJ;NOME;ENDERECO;BAIRRO;MUNICIPIO;UF;CEP;DIST;TELEFONE;INSCRICAO ESTADUAL;EMAIL;FUNCIONARIOS;PRODUTOS;IMPORTADOR;EXPORTADOR;CNAE;Atividade;GRAU DE RISCO
1;  07.936.835/0001-05  ; 3 B MODA MASCULINA  ;  Av. das Missoes, 105  ; Sao Francisco  ; Ampere  ;  PR  ; 85640-000  ;527; 0xx46 3547-2247  ; 903/6868551  ; vitale@brturbo.com.br  ;80; Camisa  ; Nao  ; Nao  ;14.12-6-01;14.12-6  Confec��o de pe�as do vestu�rio, exceto roupas �ntimas  ;2
2;  05.968.188/0001-80  ; GALLON - INDuSTRIA E COMeRCIO DE  ;  Rua Rubens Sebastiao Marin, 1626 Pav. 6  ; Pq. Indl. I  ; Maringa  ;  PR  ; 87045-000  ;425; 0xx44 3343-3500  ; 90294282-36  ; comercial@gallon.com.br  ;56; Confeccao de Pecas De Vestuario, Malhas,  ; Nao  ; Nao  ;14.11-8-01;14.11-8  Confec��o de roupas �ntimas  ;2
3;  05.968.188/0002-60  ; GALLON - INDuSTRIA E COMeRCIO DE  ;  Rua Rubens Sebastiao Marin, 1626 Pav. 06  ; Pq. Industrial 1  ; Maringa  ;  PR  ; 87045-020  ;425; 0xx44 3343-3500  ; ISENTO  ; comercial@gallon.com.br  ;70; Jeans, Malhas  ; Nao  ; Nao  ;14.11-8-01;14.11-8  Confec��o de roupas �ntimas  ;2
4;  79.194.965/0001-12  ; 3R DESCARTaVEIS  ;  Rua Marechal Hermes, 1651 Barracao 2  ; Ina  ; Sao Jose dos Pinhais  ;  PR  ; 83065-000  ;16; 0xx41 3029-9913  ; 10102988-37  ; 3rembalagens@3rembalagens.com.br  ;90; Embalagens Para Pizzas, Embalagens Para  ; Nao  ; Nao  ;17.33-8-00;17.33-8  Fabrica��o de chapas e de embalagens de papel�o ondulado  ;2
5;  05.939.484/0001-52  ; 3W ENGENHARIA E PAVIMENTAcaO  ;  Av. Pres. Tancredo Neves, 137  ; Jardim Ouro Branco  ; Paranavai  ;  PR  ; 87709-180  ;504; 0xx44 3423-2588  ; 90550115-13  ; esc-3wengenharia@hotmail.com  ;50; Construcao Civil Em Geral  ; Nao  ; Nao  ;42.11-1-01;42.11-1  Constru��o de rodovias e ferrovias  ;4
6;  05.939.484/0001-52  ; 3W ENGENHARIA E PAVIMENTAcaO  ;  Av. Pres. Tancredo Neves, 137  ; Jardim Ouro Branco  ; Paranavai  ;  PR  ; 87709-180  ;504; 0xx44 3423-2588  ; 90550115-13  ; esc-3wengenharia@hotmail.com  ;80; Construcao Civil Em Geral  ; Nao  ; Nao  ;42.11-1-01;42.11-1  Constru��o de rodovias e ferrovias  ;4
7;  08.235.639/0001-68  ; 5 ESTRELAS DIFERENCIADOS  ;  Rua Rodolpho Bernardelli, 160 B Fds. - ; Gleba Patrimonio Astorga  ; Astorga  ;  PR  ; 86730-000  ;412; 0xx44 3234-2414  ; 90401204-13  ; lave_5estrelas@hotmail.com  ;70; Conserto Em Jeans, Manutencao Em Jeans,  ; Nao  ; Nao  ;13.40-5-99;13.40-5  Acabamentos em fios, tecidos e artefatos t�xteis  ;3
8;  04.364.666/0001-80  ; DLUX PERSIANAS  ;  Av. Guaiapo, 2466  ; Jardim Liberdade  ; Maringa  ;  PR  ; 87043-000  ;425; 0xx44 3229-1919  ; 90233203-01  ; persianasdlux@hotmail.com  ;50; Persianas  ; Nao  ; Nao  ;13.59-6-00;13.59-6  Fabrica��o de outros produtos t�xteis n�o especificados anteriormente  ;3
9;  02.526.512/0001-11  ; A INTEGRAcaO  ;  Av Joao Batista Franca e Silva, 2755  ; Jardim Esplanada  ; Ponta Grossa  ;  PR  ; 84072-000  ;114; 0xx42 3225-6930  ; ISENTO  ; a_integracao@uol.com.br  ;172; Obras de Pavimentacao  ; Nao  ; Nao  ;42.11-1-01;42.11-1  Constru��o de rodovias e ferrovias  ;4
10;  05.448.762/0001-79  ; A R S  ;  Rua Omilio Monteiro Soares, 1076  ; Vila Fanny  ; Curitiba  ;  PR  ; 81030-000  ;0; 0xx41 3072-6262  ; 90322807-54  ; financeiro@kingraf.com.br  ;92; Embalagens  ; Nao  ; Nao  ;18.22-9-99;18.22-9  Servi�os de acabamentos gr�ficos  ;3
